batch,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events rolled back,efficiency,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
8,100,300,3.00,819200,233795,60.062692,107180,18.308692,55394,23870,31524,100,585405,185814,201829
8,100,304,3.04,827384,228058,61.947588,89839,14.990005,19608,8017,11591,100,599326,161441,161953
8,100,300,3.00,819200,234309,59.939715,121373,20.751388,43436,22465,20971,100,584891,219821,216928
8,100,300,3.00,819200,209099,65.727150,118471,19.418260,47448,25396,22052,100,610101,196641,198364
8,100,300,3.00,819200,220908,63.076892,125531,20.981561,52335,27347,24988,100,598292,215393,212508
8,100,300,3.00,819200,244674,57.412893,113524,19.759593,49440,24762,24678,100,574526,213418,203173
8,100,304,3.04,827384,229792,61.547009,88802,14.859971,32508,11307,21201,100,597592,157560,158271
8,100,300,3.00,819200,232089,60.469315,119229,20.307744,46789,23619,23170,100,587111,214413,212310
8,100,300,3.00,819200,206327,66.334461,118478,19.331574,43449,22794,20655,100,612873,197316,193526
8,100,300,3.00,819200,221647,62.907558,124575,20.847523,42717,23208,19509,100,597553,215555,214268
8,100,300,3.00,819200,242194,58.025740,112253,19.454390,36425,19568,16857,100,577006,209317,212642
8,100,304,3.04,827384,231434,61.165534,86509,14.516151,36460,12527,23933,100,595950,153589,157531
8,100,300,3.00,819200,233661,60.094716,116138,19.834375,62164,30539,31625,100,585539,206736,203940
8,100,300,3.00,819200,209662,65.603129,115477,18.945004,58383,29876,28507,100,609538,191581,187451
8,100,300,3.00,819200,209389,65.663296,123304,20.220035,61177,30279,30898,100,609811,201992,205193
8,100,300,3.00,819200,239750,58.624558,107440,18.541721,66837,29340,37497,100,579450,193000,188501
8,100,304,3.04,827384,230500,61.382781,83856,14.048961,36112,12312,23800,100,596884,149586,147594
8,100,300,3.00,819200,233664,60.093999,113254,19.341936,61677,29224,32453,100,585536,200008,202373
8,100,300,3.00,819200,208750,65.803915,110402,18.085347,58222,28249,29973,100,610450,180982,187877
8,100,300,3.00,819200,219021,63.507387,119391,19.892565,60849,29147,31702,100,600179,201451,200761
8,100,300,3.00,819200,251974,55.577847,101017,17.808951,69265,28886,40379,100,567226,184341,189842
8,100,304,3.04,827384,230681,61.340734,75722,12.690065,37133,11655,25478,100,596703,135634,134278
8,100,300,3.00,819200,233335,60.172565,104225,17.789935,62122,28866,33256,100,585865,184449,179407
8,100,300,3.00,819200,210082,65.510459,100417,16.485640,60000,29565,30435,100,609118,166869,163580
