batch,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events rolled back,efficiency,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
16,933,2748,2.95,119424,1720,98.538707,19075,16.205906,731,618,113,933,117704,19721,20466
16,929,2744,2.95,118912,2112,98.191781,19131,16.379281,960,836,124,929,116800,19927,20157
16,933,2762,2.96,119424,1738,98.523189,19071,16.204986,772,662,110,933,117686,19715,20249
16,934,2762,2.96,119552,1929,98.360015,19047,16.193262,838,711,127,934,117623,19757,20523
16,931,2755,2.96,119048,1433,98.781618,19000,16.154402,653,555,98,931,117615,19524,20336
32,1,6,6.00,480,0,100.000000,31,6.458333,0,0,0,1,480,31,26
32,463,1377,2.97,118528,15691,84.741873,16195,15.748223,4436,2753,1683,463,102837,21935,21164
32,492,1453,2.95,125952,12831,88.657278,17419,15.398556,3869,2534,1335,492,113121,21979,21430
32,488,1437,2.94,124928,11913,89.458921,16838,14.898907,3623,2480,1143,488,113015,20890,20351
32,491,1457,2.97,125696,12676,88.784286,16803,14.867280,3764,2537,1227,491,113020,21143,20777
32,484,1427,2.95,123904,10514,90.727577,16845,14.855807,3403,2455,948,484,113390,20365,19762
32,488,1437,2.94,124928,12081,89.294354,16759,14.851082,3704,2547,1157,488,112847,20817,20103
32,483,1427,2.95,123648,10242,90.968732,16965,14.959526,3268,2334,934,483,113406,20423,20132
32,487,1432,2.94,124672,12103,89.248372,16952,15.059208,3604,2498,1106,487,112569,20792,20426
32,485,1421,2.93,124160,11066,90.215219,16994,15.026438,3406,2428,978,485,113094,20576,20049
32,481,1408,2.93,123061,10190,90.971995,16877,14.952468,3275,2347,928,481,112871,20161,19683
32,1,6,6.00,480,0,100.000000,34,7.083333,0,0,0,1,480,34,32
32,463,1377,2.97,118528,11387,89.371949,17952,16.755490,3233,1952,1281,463,107141,22266,23015
32,492,1453,2.95,125952,8185,93.049836,19182,16.288094,2568,1739,829,492,117767,22036,22975
32,488,1437,2.94,124928,7226,93.860767,18766,15.943654,2257,1492,765,488,117702,21196,22396
32,491,1457,2.97,125696,8123,93.091101,18673,15.882048,2454,1600,854,491,117573,21375,22610
32,484,1427,2.95,123904,6308,94.635872,18818,16.002245,2090,1483,607,484,117596,20916,21614
32,488,1437,2.94,124928,7565,93.554187,18707,15.939436,2396,1667,729,488,117363,21257,22000
32,483,1427,2.95,123648,6168,94.749745,18735,15.947395,2061,1466,595,483,117480,20849,21545
32,487,1432,2.94,124672,7225,93.848289,18745,15.960391,2236,1549,687,487,117447,21229,22039
32,485,1421,2.93,124160,6824,94.184223,18803,16.024920,2236,1610,626,485,117336,20971,21862
32,481,1408,2.93,123061,6117,94.769291,18600,15.905049,2079,1536,543,481,116944,20736,21023
32,1,6,6.00,480,0,100.000000,28,5.833333,0,0,0,1,480,28,31
32,463,1377,2.97,118528,16377,83.967852,16813,16.458968,4732,2903,1829,463,102151,22939,21892
32,492,1453,2.95,125952,12796,88.691718,18332,16.200643,3988,2711,1277,492,113156,23016,22149
32,488,1437,2.94,124928,11840,89.530277,17811,15.749682,3743,2671,1072,488,113088,22157,21470
32,491,1457,2.97,125696,13404,88.063264,17714,15.774944,4056,2891,1165,491,112292,22838,21519
32,484,1427,2.95,123904,10791,90.459982,17734,15.678127,3463,2514,949,484,113113,21486,20667
32,488,1437,2.94,124928,12370,89.010110,17784,15.799854,3789,2623,1166,488,112558,22058,21499
32,483,1427,2.95,123648,10881,90.350901,17750,15.740421,3547,2591,956,483,112767,21620,20634
32,487,1432,2.94,124672,12500,88.856399,17702,15.781122,3826,2776,1050,487,112172,22244,20955
32,485,1421,2.93,124160,11091,90.190945,17816,15.756750,3543,2571,972,485,113069,21826,20825
32,481,1408,2.93,123077,9908,91.244952,17665,15.609398,3269,2403,866,481,113169,21023,20461
32,1,6,6.00,480,0,100.000000,30,6.250000,0,0,0,1,480,30,34
32,463,1377,2.97,118528,11674,89.074812,18284,17.111198,3268,1915,1353,463,106854,22522,23591
32,492,1453,2.95,125952,8701,92.579168,19590,16.707747,2698,1821,877,492,117251,22744,23221
32,488,1437,2.94,124928,7604,93.518803,19062,16.247315,2461,1751,710,488,117324,22234,22260
32,491,1457,2.97,125696,8351,92.883378,19179,16.344114,2538,1655,883,491,117345,22359,22809
32,484,1427,2.95,123904,6246,94.691394,19090,16.224991,2120,1576,544,484,117658,21228,21952
32,488,1437,2.94,124928,7206,93.878799,19056,16.187289,2275,1590,685,488,117722,21654,22184
32,483,1427,2.95,123648,6769,94.208540,19158,16.391311,2288,1629,659,483,116879,21364,21945
32,487,1432,2.94,124672,7003,94.048560,19082,16.216676,2196,1481,715,487,117669,21384,22229
32,485,1421,2.93,124160,6473,94.499817,19180,16.297467,2138,1513,625,485,117687,21384,22021
32,481,1408,2.93,123070,5739,95.108710,19022,16.212254,1964,1440,524,481,117331,20854,21607
64,1,5,5.00,960,20,97.872340,101,10.744681,9,8,1,1,940,109,100
64,375,1124,3.00,192000,89559,12.575043,16036,15.653889,15778,5445,10333,375,102441,45680,44847
64,371,1112,3.00,189952,77022,31.796688,17286,15.306827,13716,5167,8549,371,112930,41084,40806
64,366,1097,3.00,187392,74188,34.465213,16824,14.861666,12615,4988,7627,366,113204,39858,39387
64,372,1114,2.99,190464,77671,31.138457,16790,14.885676,13430,5165,8265,372,112793,40026,39109
64,381,1140,2.99,195072,82173,27.215476,16857,14.931045,14273,5034,9239,381,112899,40693,41257
64,369,1107,3.00,188928,75712,33.126060,16949,14.970499,13393,4922,8471,369,113216,39513,38504
64,365,1095,3.00,186880,74291,34.015756,16811,14.931299,13181,4861,8320,365,112589,38495,38373
64,364,1090,2.99,186368,73311,35.155718,16964,15.004821,13277,4943,8334,364,113057,38866,38097
64,382,1141,2.99,195584,82521,27.013258,16819,14.875777,14104,5086,9018,382,113063,41249,40445
64,374,1120,2.99,190660,78054,30.683978,16768,14.890858,13679,4922,8757,374,112606,39814,39277
64,1,5,5.00,960,11,98.840885,106,11.169652,6,6,0,1,949,118,120
64,375,1124,3.00,192000,85181,20.256696,18005,16.855616,15235,5350,9885,375,106819,47625,49048
64,371,1112,3.00,189952,72538,38.220314,18990,16.173540,12914,4910,8004,371,117414,42452,43982
64,366,1097,3.00,187392,69178,41.480704,18774,15.881368,12467,4930,7537,366,118214,41274,41849
64,372,1114,2.99,190464,72741,38.210035,18854,16.015562,12904,4890,8014,372,117723,42070,43262
64,381,1140,2.99,195072,77747,33.733646,18598,15.851694,13517,4955,8562,381,117325,43186,44512
64,369,1107,3.00,188928,71336,39.336009,18853,16.032553,12832,4777,8055,369,117592,40099,42165
64,365,1095,3.00,186880,68931,41.558640,18865,15.994201,12269,4677,7592,365,117949,39969,41802
64,364,1090,2.99,186368,68654,41.677286,18746,15.925039,12210,4646,7564,364,117714,39834,41310
64,382,1141,2.99,195584,77864,33.856609,18859,16.020217,13776,5071,8705,382,117720,43125,44213
64,374,1120,2.99,190676,73390,37.426462,18577,15.839060,12938,4801,8137,374,117286,40557,42461
64,1,5,5.00,960,10,98.947368,107,11.263158,5,5,0,1,950,113,112
64,375,1124,3.00,192000,89840,12.059514,16880,16.523101,15759,5704,10055,375,102160,49078,46824
64,371,1112,3.00,189952,76821,32.095535,18276,16.154723,13567,5314,8253,371,113131,44608,42537
64,366,1097,3.00,187392,74539,33.950360,17748,15.726653,13499,5246,8253,366,112853,42338,41231
64,372,1114,2.99,190464,77995,30.652002,17666,15.707439,13893,5217,8676,372,112469,42922,41202
64,381,1140,2.99,195072,82799,26.252082,17755,15.814132,14629,5332,9297,381,112273,44423,42466
64,369,1107,3.00,188928,76457,32.020699,17722,15.756951,13653,5057,8596,369,112471,41730,39744
64,365,1095,3.00,186880,74055,34.362951,17848,15.819189,13275,5063,8212,365,112825,41264,39537
64,364,1090,2.99,186368,73404,35.020006,17689,15.658971,13130,5001,8129,364,112964,40767,39253
64,382,1141,2.99,195584,82654,26.809528,17772,15.737182,14437,5269,9168,382,112930,43900,42337
64,374,1120,2.99,190630,78544,29.925236,17472,15.588031,13920,5168,8752,374,112086,41584,39984
64,1,5,5.00,960,54,94.039735,105,11.589404,13,5,8,1,906,115,123
64,375,1124,3.00,192000,85366,19.944858,18281,17.143688,15053,5374,9679,375,106634,48267,49931
64,371,1112,3.00,189952,73029,37.540946,19274,16.484353,13094,5069,8025,371,116923,43190,44009
64,366,1097,3.00,187392,69494,41.055828,19205,16.289504,12471,4886,7585,366,117898,42125,43128
64,372,1114,2.99,190464,72584,38.425517,19242,16.323380,12931,5083,7848,372,117880,42794,44239
64,381,1140,2.99,195072,77943,33.455421,18983,16.206917,13693,5284,8409,381,117129,44251,44318
64,369,1107,3.00,188928,70945,39.868456,19202,16.275226,12633,4968,7665,369,117983,41410,42339
64,365,1095,3.00,186880,70272,39.736553,18840,16.156696,12554,4996,7558,365,116608,40582,40598
64,364,1090,2.99,186368,68555,41.810327,19144,16.249480,12244,4864,7380,364,117813,40756,41563
64,382,1141,2.99,195584,77765,33.996215,19180,16.279208,13724,5117,8607,382,117819,43684,44963
64,374,1120,2.99,190610,73916,36.658269,18976,16.261333,13346,5020,8326,374,116694,42728,42961
128,1,6,6.00,1920,402,73.517787,206,13.570487,79,39,40,1,1518,382,374
128,299,897,3.00,306176,204313,-100.576264,15977,15.684792,28295,8250,20045,299,101863,82475,82661
128,301,902,3.00,308224,195226,-72.769430,17129,15.158675,26884,8051,18833,301,112998,77383,78231
128,313,939,3.00,320512,207051,-82.486493,16847,14.848274,28034,8452,19582,313,113461,80203,81634
128,310,930,3.00,317440,203717,-79.134388,17109,15.044450,28171,8110,20061,310,113723,79301,79811
128,312,936,3.00,319488,206392,-82.492750,16992,15.024404,27977,8222,19755,312,113096,79342,78518
128,311,932,3.00,318464,206023,-83.227648,16808,14.948284,28400,8386,20014,311,112441,78436,77206
128,302,906,3.00,309248,196557,-74.421205,16969,15.057990,27427,8221,19206,302,112691,77057,75001
128,318,954,3.00,325632,212275,-87.262366,17165,15.142426,29703,8521,21182,318,113357,81863,80459
128,313,939,3.00,320512,206977,-82.302374,16898,14.883516,28675,8076,20599,313,113535,77574,78707
128,315,944,3.00,320500,206779,-81.830093,16959,14.912813,28566,8119,20447,315,113721,78941,78231
128,1,6,6.00,1920,310,80.745342,235,14.596273,60,29,31,1,1610,335,370
