gvt,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events rolled back,efficiency,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
32,246,738,3.00,125952,12840,88.648419,17390,15.374142,3697,2485,1212,246,113112,21890,21312
32,251,750,2.99,128512,15150,86.635733,16857,14.870062,3791,2433,1358,251,113362,22007,21645
32,254,760,2.99,130048,16884,85.080061,16755,14.805945,4288,2613,1675,254,113164,22487,22001
32,255,765,3.00,130560,17452,84.570499,16828,14.877816,4176,2599,1577,255,113108,22768,21839
32,249,747,3.00,127488,14199,87.466568,16773,14.805497,3794,2412,1382,249,113289,21429,21042
32,249,747,3.00,127488,14480,87.186748,16971,15.017521,3839,2458,1381,249,113008,21567,21398
32,256,768,3.00,131072,18620,83.441824,16827,14.963718,4428,2674,1754,256,112452,22833,22093
32,244,730,2.99,124928,11800,89.569337,16980,15.009547,3460,2445,1015,244,113128,20754,20352
32,253,758,3.00,129325,16142,85.738141,16905,14.935989,3898,2437,1461,253,113183,22203,21682
32,1,6,6.00,1008,18,98.181818,126,12.727273,3,3,0,1,990,132,133
32,233,698,3.00,119296,12399,88.400984,17981,16.820865,3372,1911,1461,233,106897,22507,23487
32,246,738,3.00,125952,8695,92.584664,19015,16.216516,2641,1764,877,246,117257,22151,22881
32,251,750,2.99,128512,11092,90.553568,18740,15.959802,2998,1789,1209,251,117420,22438,23653
32,254,760,2.99,130048,12201,89.646745,18749,15.909612,3039,1716,1323,254,117847,22689,23923
32,255,765,3.00,130560,13036,88.907798,18839,16.029917,3333,1936,1397,255,117524,22939,23898
32,249,747,3.00,127488,10089,91.406230,18590,15.834888,2814,1769,1045,249,117399,21816,22629
32,249,747,3.00,127488,10132,91.366441,18708,15.941239,2842,1785,1057,249,117356,22122,22723
32,256,768,3.00,131072,13588,88.434170,18785,15.989411,3436,1999,1437,256,117484,23293,23873
32,244,730,2.99,124928,7520,93.594985,18762,15.980172,2337,1643,694,244,117408,21204,21907
32,253,758,3.00,129287,12562,89.237952,18498,15.847505,3183,1900,1283,253,116725,22328,23373
32,1,6,6.00,1008,11,98.896690,126,12.637914,5,5,0,1,997,134,127
32,233,698,3.00,119296,17221,83.129072,16812,16.470242,4667,2799,1868,233,102075,23346,22154
32,246,738,3.00,125952,13124,88.368136,18214,16.143156,3790,2533,1257,246,112828,23048,22282
32,251,750,2.99,128512,15557,86.227259,17855,15.807180,4121,2612,1509,251,112955,23519,22539
32,254,760,2.99,130048,17418,84.535204,17732,15.743585,4344,2673,1671,254,112630,23982,22899
32,255,765,3.00,130560,17895,84.116629,17654,15.669463,4345,2598,1747,255,112665,23786,22662
32,249,747,3.00,127488,15223,86.440119,17731,15.793881,3874,2408,1466,249,112265,22769,21803
32,249,747,3.00,127488,14765,86.901520,17728,15.727048,3887,2462,1425,249,112723,22666,21803
32,256,768,3.00,131072,18839,83.214384,17721,15.789474,4570,2702,1868,256,112233,23981,23030
32,244,730,2.99,124928,11736,89.631776,17770,15.698989,3371,2365,1006,244,113192,21758,20963
32,253,758,3.00,129263,16841,85.019836,17660,15.708669,4160,2539,1621,253,112422,23404,22456
32,1,6,6.00,1008,5,99.501496,130,12.961117,4,4,0,1,1003,134,134
32,233,698,3.00,119296,12324,88.479228,18300,17.107280,3323,1951,1372,233,106972,22962,23986
32,246,738,3.00,125952,8679,92.599320,19504,16.631279,2710,1832,878,246,117273,22792,23406
32,251,750,2.99,128512,11321,90.339702,19070,16.272581,3044,1926,1118,251,117191,23398,23525
32,254,760,2.99,130048,12569,89.301067,19206,16.348454,3123,1863,1260,254,117479,23738,24073
32,255,765,3.00,130560,12779,89.150202,19195,16.297196,3126,1778,1348,255,117781,23275,24369
32,249,747,3.00,127488,10259,91.248752,19016,16.221242,2893,1898,995,249,117229,22346,22886
32,249,747,3.00,127488,10623,90.910024,19110,16.352201,2856,1865,991,249,116865,22736,23167
32,256,768,3.00,131072,13136,88.861756,19104,16.198616,3198,1860,1338,256,117936,23364,24475
32,244,730,2.99,124928,7225,93.861669,19122,16.245975,2262,1606,656,244,117703,21716,22210
32,253,758,3.00,129295,12106,89.669679,18939,16.161073,3090,1876,1214,253,117189,23095,23519
64,1,6,6.00,2032,50,97.477296,275,13.874874,16,11,5,1,1982,299,313
64,112,335,2.99,114688,13124,87.078099,15895,15.650230,3681,2399,1282,112,101564,20921,20162
64,124,368,2.97,126976,13370,88.231255,17412,15.326655,3957,2629,1328,124,113606,22272,21489
